Ingredient                Cost per Unit ($)
long grain white rice               2.00 (per pound)
canned chicken broth               2.50 (per can)
grape leaves                       2.00 (per jar)
cod fish fillet                     8.00 (per fillet)
whole chicken                       8.00 (per chicken)
parsnips                           2.00 (per pound)
olive oil-flavored vegetable cooking spray 2.00 (per bottle)
reduced-fat sharp cheddar cheese   4.00 (per block)
oregano sprig                       1.00 (per sprig)
skinless chicken breast half       5.00 (per pound)
flour tortilla                     3.00 (per pack)
chunky peanut butter              3.00 (per jar)
great northern bean                2.00 (per can)
great northern beans               2.00 (per can)
salsa                              2.00 (per jar)
dry basil leaves                    2.00 (per jar)
dry oregano leaves                  2.00 (per jar)
dry thyme leaves                    2.00 (per jar)
fontina                            5.00 (per block)
creamy peanut butter              3.00 (per jar)
fresh cilantro stems               1.50 (per bunch)
sea bass fillet                     10.00 (per fillet)
canned unsweetened coconut milk   2.50 (per can)
bottled clam juice                  3.00 (per bottle)
serrano chili                       1.00 (per pepper)
tamarind pulp                      2.50 (per pack)
raw red bell pepper                1.00 (per pepper)
anaheim chilies                    1.50 (per pepper)
salad potatoes                     2.00 (per pound)
spearmint                          1.50 (per bunch)
lime zest                           2.00 (per lime)
quick-cooking tapioca             2.00 (per pack)
Monarch 151 rum                    15.00 (per bottle)
reduced-calorie margarine          3.00 (per tub)
skinless chicken breast halves     5.00 (per pound)
flat-leaf Italian parsley           1.00 (per bunch)
canned mandarin oranges           2.00 (per can)
grapes                             3.00 (per bunch)
dill pickle slices                 2.00 (per jar)
french-style ladyfinger cookies    3.00 (per pack)
hazelnuts                          6.00 (per pound)
espresso coffee                    8.00 (per pack)
triple sec                         15.00 (per bottle)
fresh sweet potatoes               3.00 (per pound)
dark corn syrup                    4.00 (per bottle)
cider                              3.00 (per bottle)
raw sweet potato                   2.00 (per pound)
Homemade Pie Crust                4.00 (per pack)
espresso blend coffee              8.00 (per pack)
frozen yogurt                      4.00 (per pint)
mint sprigs                        1.50 (per bunch)
full-bodied red wine               12.00 (per bottle)
light-brown sugar                  2.50 (per bag)
lime slice                          0.25 (each)
low calorie sweetener              3.00 (per packet)
dry instant coffee                  2.00 (per pack)
fresh coffee                        5.00 (per pound)
chopped tomato                     1.00 (per can)
fat-free ricotta cheese             3.00 (per container)
fat free mozzarella cheese         3.00 (per block)
fat free egg substitute            3.00 (per carton)
gala apples                        1.50 (per pound)
corn kernel                        2.00 (per pound)
lime peel                          2.00 (per lime)
dried tart cherry                  3.00 (per pack)
pistachio nuts                     6.00 (per pound)
toasted hazelnuts                  6.00 (per pound)
tortillas                          3.00 (per pack)
apricot puree                      4.00 (per jar)
rosemary sprigs                    2.00 (per bunch)
dried lentils                       2.00 (per pound)
cooked basmati rice                3.00 (per pound)
unbleached white flour             2.00 (per bag)
fine semolina                      3.00 (per pound)
lemon peel                         1.00 (per lemon)
instant coffee granules            3.00 (per jar)
instant espresso powder            3.00 (per jar)
pork sausage                       5.00 (per pound)
yellow onions                      1.00 (per onion)
extra thick Cool Whip topping      3.00 (per tub)
malt vinegar                       2.00 (per bottle)
low-fat milk                       2.00 (per gallon)
real vanilla extract               7.00 (per bottle)
ladyfinger                         2.50 (per pack)
strawberry syrup                   3.00 (per bottle)
red raspberries                    3.00 (per pint)
Italian-style tomatoes             2.50 (per can)
dry bow tie pasta                  2.00 (per box)
red kidney beans                   2.00 (per can)
white kidney beans                 2.00 (per can)
dry pasta shell macaroni           2.00 (per box)
calvados                           20.00 (per bottle)
roma tomato                        1.00 (per tomato)
purple onion                        1.00 (each)
mild paprika                       2.00 (per jar)
ginger powder                      2.00 (per jar)
crunchy peanut butter             3.00 (per jar)
smoked bacon                       6.00 (per pound)
trassi oedang                      3.00 (per jar)
curcumae                           3.00 (per jar)
stuffed green olive                3.00 (per jar)
dried leaf thyme                   2.00 (per jar)
kielbasa                           5.00 (per pound)
pineapple instant pudding          2.00 (per box)
angel flake coconut                3.00 (per bag)
dry vermouth                       8.00 (per bottle)
chile                              1.00 (per pepper)
coconut cream                      4.00 (per can)
stone ground mustard              2.00 (per jar)
miniature pear tomato              3.00 (per pint)
thick cut orange marmalade         4.00 (per jar)
sultanas                           3.00 (per bag)
demerara sugar                     2.00 (per bag)
habanero pepper                    1.00 (per pepper)
good local honey                   5.00 (per jar)
quick oats                          2.00 (per box)
garlic heads                       1.00 (per bulb)
brown button mushrooms             2.00 (per pound)
fresh apricot                      3.00 (per pound)
head cauliflower                   3.00 (per head)
scallops                           10.00 (per pound)
swordfish steaks                   15.00 (per steak)
tuna steaks                         14.00 (per steak)
fresh lemon zest                   2.00 (per lemon)
leg of lamb                         20.00 (per leg)
frozen baby lima beans             2.50 (per bag)
grapefruits                         2.00 (per fruit)
extra-dry vermouth                 10.00 (per bottle)
soy margarine                       4.00 (per tub)
greens                             2.00 (per bunch)
skim milk yogurt                   3.00 (per container)
light mayonnaise                   4.00 (per jar)
boiling potatoes                    2.00 (per pound)
head of lettuce                    2.00 (per head)
cheese slices                      4.00 (per pack)
fresh cracked pepper                2.00 (per jar)
low-fat sharp cheddar cheese       5.00 (per block)
Kraft Healthy Favorites Fat Free Cheddar 4.00 (per block)
processed cheese                   3.00 (per block)
Japanese soy sauce                 3.00 (per bottle)
no. 1 onions                        1.00 (per onion)
sausage meat                        5.00 (per pound)
pimento pepper                     2.00 (per jar)
calorie-reduced mayonnaise         3.00 (per jar)
fresh crabmeat                      10.00 (per pound)
green lentils                       2.00 (per pound)
oil-cured black olive              4.00 (per jar)
minced garlic clove                 0.50 (per clove)
green tomatoes                      2.00 (per pound)
whole cardamom pod                 3.00 (per pod)
whole black peppercorn             2.00 (per jar)
green peppercorn                    2.00 (per jar)
small whole potatoes                1.00 (per pound)
canned whole kernel corn           2.00 (per can)
Chinese hot mustard                 3.00 (per jar)
fresh rosemary leaf                 2.00 (per sprig)
canned plum tomatoes               2.00 (per can)
fresh cilantro leaves               2.00 (per bunch)
green tomato                        2.00 (per pound)
lemon low fat yogurt                2.00 (per container)
fresh raspberries                   3.00 (per pint)
frozen unsweetened raspberries     3.00 (per bag)
treacle                            4.00 (per jar)
dark raisin                        3.00 (per bag)
raw wild rice                      4.00 (per pound)
fresh ripe pineapple               3.00 (per pineapple)
elderberry juice                    5.00 (per bottle)
cherry gelatin                     1.50 (per pack)
colby-monterey jack cheese         5.00 (per block)
plum jam                           3.00 (per jar)
instant flour                       2.00 (per pack)
gruyere cheese                     10.00 (per block)
lima beans                         2.00 (per bag)
roasted pistachios                  6.00 (per pound)
Spanish olive oil                   6.00 (per bottle)
saffron threads                    15.00 (per gram)
creme fraiche                      4.00 (per tub)
clear broth                         3.00 (per carton)
Lawry's Seasoned Pepper            2.00 (per jar)
Italian parsley                     2.00 (per bunch)
fresh ground black pepper          2.00 (per jar)
salmon                             12.00 (per pound)
canned chanterelles                5.00 (per can)
Noilly Prat                        15.00 (per bottle)
broad beans                        2.00 (per pound)
wheat flour                         2.00 (per bag)
fresh white mushrooms              2.00 (per pound)
sweet vermouth                     12.00 (per bottle)
hash brown potatoes                3.00 (per pack)
cardamom                           3.00 (per jar)
raw red cabbage                    2.00 (per head)
raw green cabbage                  2.00 (per head)
raw spinach leaves                 2.00 (per bunch)
tahini                             4.00 (per jar)
beef mince                         5.00 (per pound)
white mushroom                     2.00 (per pound)
baby chickens                      10.00 (per chicken)
juice of                           1.00 (per fruit)
elderflower heads                  3.00 (per bunch)
raw cranberries                    2.50 (per bag)
dry wasabi                          4.00 (per jar)
black sesame seeds                 3.00 (per bag)
kirby cucumber                     1.00 (per cucumber)
chicken thigh fillets               5.00 (per pound)
fresh coriander leaves             2.00 (per bunch)
bing cherries                      4.00 (per pound)
Grey Poupon Dijon Mustard         3.00 (per jar)
top round steaks                   8.00 (per pound)
sour dill pickle                   2.00 (per jar)
fresh yeast                        3.00 (per cake)
hard apple cider                   5.00 (per bottle)
crawfish                           15.00 (per pound)
Lea & Perrins Worcestershire Sauce 4.00 (per bottle)
baby green peas                    2.00 (per pound)
compressed yeast                   2.00 (per packet)
canning salt                       2.00 (per box)
mustard seeds                      2.00 (per jar)
celery seeds                       3.00 (per jar)
poultry seasoning                  2.00 (per jar)
beetroots                          2.00 (per bunch)
tart dessert apple                  2.00 (per apple)
light sour cream                   3.00 (per tub)
fresh compressed yeast             3.00 (per packet)
4 grain bread flour                 3.00 (per bag)
chicken tenderloins                5.00 (per pound)
russet potatoes                    2.00 (per pound)
reduced sodium ketchup            2.00 (per bottle)
mild curry powder                  2.00 (per jar)
fresh marjoram                     3.00 (per bunch)
fryer chickens                      6.00 (per chicken)
instant chicken bouillon granules  2.00 (per jar)
sweet unsalted butter              4.00 (per pound)
cooking onion                       1.00 (each)
brazil nut                         6.00 (per pound)
coffee beans                       8.00 (per pound)
frozen green beans                 2.00 (per bag)
candied ginger                     4.00 (per bag)
white flour tortillas               3.00 (per pack)
wheat flour tortillas               3.00 (per pack)
hot paprika                        2.00 (per jar)
chicken piece                       5.00 (per piece)
curry leaf                          1.00 (per bunch)
green chili                         1.00 (per pepper)
coriander leaves                    2.00 (per bunch)
sweet peppers                       1.00 (per pepper)
sunflower seeds                    3.00 (per bag)
herb stuffing mix                  3.00 (per pack)
tofu                               2.00 (per block)
silken tofu                         2.00 (per block)
limes                              1.00 (per lime)
chicken bouillon mix               2.00 (per box)
beef liver                          4.00 (per pound)
canned black beans                 2.00 (per can)
lemon wedges                       1.00 (per wedge)
buttermilk baking mix              3.00 (per box)
beef stew meat                      7.00 (per pound)
dark muscovado sugar               2.50 (per bag)
prune filling                       2.00 (per jar)
dry milk                            2.00 (per bag)
queen anne cherries                4.00 (per jar)
chicken leg meat                    5.00 (per pound)
Japanese sake                      15.00 (per bottle)
dried mint flakes                   3.00 (per bag)
French lentils                      2.50 (per pound)
Bulgar wheat                        2.00 (per pound)
garlic-flavored red wine vinegar   3.00 (per bottle)
white rum                           10.00 (per bottle)
salt pork                           4.00 (per pound)
button mushroom                     2.00 (per pound)
kidney bean                         2.00 (per can)
pasta                               2.00 (per box)
black walnuts                       5.00 (per pound)
shiitake mushrooms                  5.00 (per pound)
red currant jelly                   3.00 (per jar)
white potatoes                      2.00 (per pound)
Hellmanns Mayonnaise               4.00 (per jar)
yellow mustard                      2.00 (per jar)
sweet basil                         2.00 (per bunch)
quick-cooking oats                  2.00 (per box)
fresh parmesan cheese              5.00 (per container)
rigatoni pasta                      2.50 (per box)
unsmoked bacon                      6.00 (per pound)
chicken breast fillets              5.00 (per pound)
canned Italian tomatoes             2.00 (per can)
cheese spread                       4.00 (per container)
farina                             2.00 (per box)
sweet plums                        2.00 (per pound)
dry white bean                      2.00 (per pound)
ham hocks                          4.00 (per pound)
sweet onion                         2.00 (per onion)
green chili peppers                 1.50 (per pepper)
8-inch flour tortillas              2.00 (per pack)
10-inch flour tortillas             2.00 (per pack)
dried pinto bean                    2.00 (per pound)
raw rice                            2.00 (per pound)
vermouth                           10.00 (per bottle)
nonfat parmesan cheese             4.00 (per block)
fennel seed                         3.00 (per jar)
skinless chicken thighs             5.00 (per pound)
dried cherries                       3.00 (per bag)
broth                               2.50 (per carton)
squash                              3.00 (per pound)
beef tenderloin steaks              15.00 (per pound)
boneless beef top loin steaks       12.00 (per pound)
mostaccioli pasta                   2.00 (per box)
mirin                               8.00 (per bottle)
alum                                1.00 (per jar)
Thai red curry paste                3.00 (per jar)
beef sirloin steaks                 12.00 (per pound)
frozen chopped spinach             2.00 (per bag)
artichoke hearts                    4.00 (per can)
reduced-sodium chicken broth       2.50 (per carton)
instant chocolate pudding mix      2.00 (per box)
dry basil                           2.00 (per jar)
ziti pasta                          2.00 (per box)
frozen broccoli                     2.00 (per bag)
parsnip                             2.00 (per pound)
london broil beef                   8.00 (per pound)
green apple                         2.00 (per apple)
red apple                           2.00 (per apple)
German chocolate bar               3.00 (per bar)
pearl barley                        2.00 (per pound)
jumbo lump crab meat               12.00 (per pound)
aged white cheddar cheese          7.00 (per block)
gorgonzola                          8.00 (per pound)
I Can't Believe It's Not Butter Fat Free  3.00 (per tub)
frozen coconut milk                 3.00 (per can)
fresh yeast cake                    3.00 (per cake)
fennel powder                       3.00 (per jar)
chicken legs                        5.00 (per pound)
yoghurt                             2.00 (per container)
fresh onion                         1.00 (per onion)
dry parmesan cheese                 5.00 (per container)
Pepperidge Farm stuffing           3.00 (per box)
boneless skinless chicken breast half  5.00 (per pound)
chicken breast half                 5.00 (per pound)
queso fresco                        5.00 (per block)
jalapeno chiles                     1.00 (per pepper)
lean beef chuck                     6.00 (per pound)
fresh bean sprout                   2.00 (per bunch)
rice wine                           10.00 (per bottle)
barbecued pork                      6.00 (per pound)
quick-cooking white rice           2.00 (per pound)
haddock fillets                     7.00 (per fillet)
dried fine herb                     2.00 (per jar)
anise seeds                         2.00 (per jar)
celery root                         2.50 (per pound)
celeriac                            2.50 (per pound)
regular grind coffee                3.00 (per pound)
lemon pepper seasoning mix          2.00 (per jar)
chicken cutlets                     6.00 (per pound)
herb-seasoned salt                  2.00 (per jar)
pineapple chunks in juice           2.50 (per can)
sweetened condensed milk            3.00 (per can)
coconut flakes                      2.50 (per bag)
Chinese chili sauce                 3.00 (per jar)
green onions with tops              1.00 (per bunch)
unsweetened pineapple               2.00 (per can)
quick-cooking oatmeal               2.00 (per box)
liquid smoke                        3.00 (per bottle)
Chinese wine                        5.00 (per bottle)
new potato                          2.00 (per pound)
red Italian tomatoes                 2.50 (per can)
duck                                10.00 (per pound)
black soy sauce                     4.00 (per bottle)
sliced water chestnuts              3.00 (per can)
oyster sauce                        3.00 (per bottle)
roasted unsalted peanuts            4.00 (per pound)
fruit chutney                       3.00 (per jar)
long-grain white rice               2.00 (per pound)
cooked rice                         3.00 (per pound)
cashew pieces                       6.00 (per pound)
frozen English peas                 2.00 (per bag)
craisins                            3.00 (per bag)
oats                                2.00 (per bag)
red apples                          2.00 (per apple)
chicken fillets                     5.00 (per pound)
rhubarb                            3.00 (per pound)
cold water                          0.00 (free)
grits                               2.00 (per box)
tarragon vinegar                    3.00 (per bottle)
filet of beef                       15.00 (per pound)
flank of beef                       12.00 (per pound)
double-acting baking powder        2.00 (per can)
chili pepper                        1.00 (per pepper)
beef flank steak                    8.00 (per pound)
boneless pork                       6.00 (per pound)
marmalade                          3.00 (per jar)
Greek feta cheese                   5.00 (per block)
creamed shortening                  2.00 (per tub)
cauliflower head                    3.00 (per head)
mashed potatoes                     2.50 (per pound)
capers                              3.00 (per jar)
hash browns                         3.00 (per pack)
bok choy                            2.00 (per bunch)
fresh pumpkin                       3.00 (per pumpkin)
unsweetened applesauce             2.00 (per jar)
fresh lemon rind                    1.00 (per lemon)
ground cloves                       2.00 (per jar)
ground cinnamon                     2.00 (per jar)
chicken bouillon granules           2.00 (per jar)
raw chicken                         5.00 (per pound)
rindless smoked streaky bacon       6.00 (per pound)
turnips                             2.00 (per pound)
other green loose-leafed cabbage    2.00 (per head)
white cheddar cheese                5.00 (per block)
ground pork                         4.00 (per pound)
tuna in water                       2.00 (per can)
frozen green peas                   2.00 (per bag)
fresh zucchini                      2.00 (per pound)
masa harina mix                    3.00 (per bag)
reduced-fat monterey jack cheese    4.00 (per block)
light margarine                     3.00 (per tub)
dried chipotle chiles               3.00 (per bag)
canned chipotle chile puree         4.00 (per can)
tortilla chip strips                3.00 (per bag)
light cherry pie filling            2.50 (per can)
Pernod                              15.00 (per bottle)
pastis                              15.00 (per bottle)
anise seed                          2.00 (per jar)
herb seasoning mix                 2.00 (per jar)
red cabbage                         2.50 (per head)
sugar water                         1.00 (per bottle)
black dates                         4.00 (per pound)
white grape wine                    5.00 (per bottle)
wine                                6.00 (per bottle)
cooking wine                        5.00 (per bottle)
frozen okra                         3.00 (per bag)
white corn                          2.00 (per can)
apricot gelatin                     2.00 (per pack)
low-sodium instant chicken bouillon granules  2.00 (per jar)
anchovy                             2.00 (per can)
lamb shanks                         10.00 (per pound)
sugar snap pea                      3.00 (per pound)
fine rolled oats                    2.00 (per box)
solid-type fat-free margarine       3.00 (per tub)
pourable fat-free margarine         3.00 (per tub)
sweet Hungarian paprika            3.00 (per jar)
dried savory                        3.00 (per jar)
beef bouillon cubes                 2.00 (per pack)
yellow chile                        1.00 (per pepper)
ground beef round                   4.00 (per pound)
diced tomatoes with green chilies   2.00 (per can)
ground coriander                    2.00 (per jar)
adobo sauce                         2.00 (per jar)
ground turmeric                     2.00 (per jar)
vegetable marrow                    2.00 (per pound)
fresh peas                          2.00 (per pound)
whole toasted hazelnuts             5.00 (per pound)
roasted sichuan peppercorn          3.00 (per jar)
round tip steak                     8.00 (per pound)
fresh spinach leaves                3.00 (per pound)
active compressed yeast            2.00 (per packet)
fresh sorrel leaves                 2.00 (per bunch)
dried rosemary leaves               3.00 (per jar)
Meyer's dark rum                    12.00 (per bottle)
celery leaves                       2.00 (per bunch)
boneless beef top sirloin steaks    10.00 (per pound)
single strength beef broth          3.00 (per carton)
other sweet onion                   2.00 (per onion)
prepared honey-dijon barbecue sauce  3.00 (per bottle)
spaghetti squash                    4.00 (per squash)
wild fennel                         2.00 (per bunch)
Rotel Tomatoes                      2.00 (per can)
diced tomatoes                      2.00 (per can)
oleo                                2.00 (per tub)
frozen lemon juice                  2.00 (per bottle)
suet                                3.00 (per pound)
self-raising flour                  2.00 (per bag)
vegetable suet                      3.00 (per pound)
beef suet                           3.00 (per pound)
custard                             2.00 (per pack)
idaho baking potatoes               2.00 (per pound)
beef round tip steak                8.00 (per pound)
red chili peppers                   1.00 (per pepper)
reduced-sodium soy sauce           3.00 (per bottle)
boneless beef top sirloin steak     10.00 (per pound)
dill sprigs                         1.00 (per bunch)
walnut halves                       5.00 (per pound)
hot chili pepper                    1.00 (per pepper)
low-fat coconut milk               4.00 (per can)
another sweetener                   3.00 (per pack)
instant garlic                      1.00 (per pack)
hot chili sauce                     2.00 (per jar)
tangerine                           2.00 (per fruit)
dried mint                          3.00 (per jar)
lady savoiardi                      3.00 (per pack)
strong rich coffee                  3.00 (per pound)
best olive oil                      8.00 (per bottle)
Contadina tomato sauce             2.00 (per can)
Contadina tomato paste             2.00 (per can)
mild Italian sausage               5.00 (per pound)
rolled roast beef                   8.00 (per pound)
ground pepper                       2.00 (per jar)
cantaloupe                          3.00 (per melon)
fat free tortillas                  3.00 (per pack)
fat free sour cream                 3.00 (per tub)
nonfat beef broth                   3.00 (per carton)
