Name,Ingredients,Total_Protein,Total_Fat,Total_Carbs,Total_Calories,Estimated_Cost
Shortbread Cookies,"['1 pound unsalted butter', '1 1/4 cups light brown sugar, lightly packed', '4 1/2 cups all-purpose flour', 'Colored sugars', ""Confectioners' sugar""]",7.85,0.0,372.35,1470.0,10.75
Basic Pumpkin Pie Recipe,"['1 x 9"" Pie Shell, Unbaked', '3 x Large eggs', '2 3/4 c. Mashed Pumpkin', '1 c. + 3/4 teaspoon Sugar', '3/4 tsp Salt', '1/2 tsp Cinnamon', '3/4 tsp Ginger', '1/2 tsp Cloves', '2 1/4 c. Evaporated Lowfat milk']",22.25,41.92,161.66,1090.0,15.5
Rogue Sauce,"['1 lb italian sweet sausage links, thinly sliced', '2 tablespoons olive oil', '1 lb ground beef', '1 large onion, finely chopped', '1 garlic clove, minced', '1 (35 ounce) can Italian plum tomatoes', '1 (6 ounce) can tomato paste', '1 teaspoon dried basil', 'salt and pepper']",30.01,127.58,184.11,2114.0,25.5
Rice And Asparagus Salad ,"['Ingredients:', '1 cup of rice, basmati, or both', '2 scallions finely chopped', '5 tbsp. lime and/or lemon juice', '3 tbsp. olive oil', '2 tbsp. sesame oil', '1 tbsp. soy sauce', '1 tbsp balsamic vinegar', '1 tbsp. grated fresh ginger root', '2 tsp. minced garlic', 'pinch of sugar', '2 - 3 Tbsp. chopped cilantro']",13.44,103.19,245.27,1966.0,19.25
Cornmeal Rolls,"['1 pkg. yeast', '1/2 c. warm water', '1 c. cornmeal', '1/2 c. shortening', '1 tsp. salt', '1/2 c. sugar', '2 c. milk', '2 beaten eggs', '4 1/2 or 5 c. flour']",70.18,123.38,305.44,2557.0,18.3
French Dressing,"['1 c. brown sugar', '1 c. salad oil', '1 c. vinegar', '1 c. ketchup', '1 small onion, grated', '1 clove garlic, chopped', 'salt and pepper', 'Worcestershire sauce to taste']",17.95,114.1,338.8,2407.0,16.0
Sneaky Pete'S Nacho Dip,"['1 lb sausage, cooked and drained', '2 cups frozen californian blend vegetables', ""1 can Fiesta nacho cheese soup (Campbell's brand)"", ""1 can cream of mushroom soup (Campbell's brand)"", '16 ounces salsa', '1 lb Velveeta cheese, cubed']",42.2,49.2,4.92,662.0,11.75
Double Delight Banana Cream Pie,"['4 ounces cream cheese, softened', '1 tablespoon milk', '1 tablespoon sugar', '1 (12 ounce) container whipped topping (thawed)', '1 (9 inch) ready made graham cracker pie crusts', '1 12 cups milk', '2 (3 1/2 ounce) packages instant banana pudding mix', '2 bananas (sliced in 1/4 inch slices,put in lemon juice to keep from browning)', 'lemon juice']",18.53,40.57,206.28,1176.0,16.55
Linguine with Sicilian Clam Sauce,"['Sea salt', '1 pound linguine', 'Extra-virgin olive oil', '4 anchovy fillets, chopped', '6 garlic cloves, shaved', '1 onion, diced', '1 teaspoon red pepper flakes', '1/4 cup capers, drained', '1 cup hand-torn fresh basil', '2 (28-ounce) cans whole plum tomatoes, drained', '48 littleneck clams, scrubbed', '1/2 cup dry white wine', 'Juice of 1 lemon', 'Sea salt and freshly ground black pepper', 'Freshly grated Parmigiano-Reggiano cheese (optional)']",18.26,129.58,296.58,2666.0,38.5
Chicken Potato Delight,"['1 can (10-3/4 ounces) condensed cream of chicken soup, undiluted', '3/4 cup sour cream', '1/4 cup whole milk', '1 cup cubed cooked chicken', '2-1/2 cups shredded cheddar cheese, divided', '2-1/2 cups frozen shredded hash brown potatoes, thawed', '1 can (2.8 ounces) french-fried onions', '1 cup sour cream and onion potato chips']",81.44,50.27,100.48,1227.0,23.35
Balsamic Brussels Sprouts With Feta Cheese And Walnuts,"['1 pound Brussels sprouts, trimmed and halved', '1 large red onion, chopped', '6 cloves garlic, chopped', '1/3 cup balsamic vinegar', '1/4 cup olive oil', '2 tablespoons maple syrup', 'salt and ground black pepper to taste', '1/4 cup walnuts', '1/4 cup sweetened dried cranberries', '2 ounces crumbled feta cheese']",43.1,186.48,419.77,3551.0,35.0
Stuffed Mushrooms,"['12 large mushrooms, 1 1/2 to 2 inches in diameter', '1/4 cup (60 ml) butter or margarine', '1 tsp (5 ml). dried basil leaves', '1/4 tsp (1 ml). salt', '1/2 cup (125 ml) whipping cream', '1/4 cup (60 ml) Parmesan cheese, grated', 'cherry tomatoes and parsley garnish']",42.94,30.0,7.62,441.0,18.0
Southern Style Corn Bread Dressing,"['2 boxes Jiffy corn bread mix', 'diced onions and celery', '2 eggs', '3 tsp. poultry seasoning', '2 tsp. sage', '1 tsp. seasoning salt', ""1/2 tsp. Adolph's seasoning"", '1/2 tsp. pepper', '1 c. hot water or 1 c. chicken broth']",44.96,17.23,141.26,975.0,13.55
Green Beans With Brown Butter And Pepitas,"['3 Tablespoons Unsalted Butter', '1 pound Green Beans, Cleaned And Trimmed', '2 cloves Garlic, Minced', '1/2 cups Roasted Pumpkin Seeds']",2.01,0.0,38.98,196.0,7.0
Aunt Edna Wilson'S White Feather Cake,"['1/2 c. butter', '1 1/2 c. sugar', '3/4 c. cold water', '1 tsp. vanilla', '2 1/4 c. flour', '3 tsp. baking powder', '5 egg whites']",22.25,16.2,205.44,1065.0,14.05
Spiced Wieners,"['3 pkg. wieners', '2 small bottles of Russian salad dressing']",1.98,1.38,12.6,71.0,0.0
Chocolate Chip Cookies,"['2 c. butter (not margarine)', '2 c. sugar', '2 c. brown sugar', '1 tsp. salt', '2 tsp. baking powder', '4 eggs', '2 tsp. vanilla', '4 c. flour', '5 c. oatmeal flour*', '2 tsp. baking soda', '1 (8 oz.) chocolate bar, pecans or Macadamia nuts (optional)', '1 (24 oz.) bag chocolate chips', '3 c. walnuts']",44.32,90.5,378.94,2460.0,30.0
